audit_id,detection_event_id,detector,saved_label,recomputed_label,validation_result,issues
semantic__insertion__1033,1033,insertion,confirmado,confirmado,valid,
semantic__insertion__1154,1154,insertion,confirmado,confirmado,valid,
semantic__insertion__1227,1227,insertion,confirmado,confirmado,valid,
semantic__insertion__1391,1391,insertion,confirmado,confirmado,valid,
semantic__insertion__1409,1409,insertion,confirmado,confirmado,valid,
semantic__insertion__1431,1431,insertion,confirmado,confirmado,valid,
semantic__insertion__1733,1733,insertion,confirmado,confirmado,valid,
semantic__insertion__2074,2074,insertion,confirmado,confirmado,valid,
semantic__insertion__2193,2193,insertion,confirmado,confirmado,valid,
semantic__insertion__2241,2241,insertion,confirmado,confirmado,valid,
semantic__insertion__2311,2311,insertion,confirmado,confirmado,valid,
semantic__insertion__2366,2366,insertion,confirmado,confirmado,valid,
semantic__insertion__2474,2474,insertion,confirmado,confirmado,valid,
semantic__insertion__2550,2550,insertion,confirmado,confirmado,valid,
semantic__insertion__2595,2595,insertion,confirmado,confirmado,valid,
semantic__insertion__2603,2603,insertion,confirmado,confirmado,valid,
semantic__insertion__2690,2690,insertion,confirmado,confirmado,valid,
semantic__insertion__2821,2821,insertion,confirmado,confirmado,valid,
semantic__insertion__2825,2825,insertion,confirmado,confirmado,valid,
semantic__insertion__2933,2933,insertion,confirmado,confirmado,valid,
semantic__insertion__2946,2946,insertion,confirmado,confirmado,valid,
semantic__insertion__3002,3002,insertion,confirmado,confirmado,valid,
semantic__insertion__3025,3025,insertion,confirmado,confirmado,valid,
semantic__insertion__3183,3183,insertion,confirmado,confirmado,valid,
semantic__insertion__3206,3206,insertion,confirmado,confirmado,valid,
semantic__insertion__3434,3434,insertion,confirmado,confirmado,valid,
semantic__insertion__3508,3508,insertion,confirmado,confirmado,valid,
semantic__insertion__3535,3535,insertion,confirmado,confirmado,valid,
semantic__insertion__3643,3643,insertion,confirmado,confirmado,valid,
semantic__insertion__3644,3644,insertion,confirmado,confirmado,valid,
semantic__insertion__3659,3659,insertion,confirmado,confirmado,valid,
semantic__insertion__3730,3730,insertion,confirmado,confirmado,valid,
semantic__insertion__3868,3868,insertion,confirmado,confirmado,valid,
semantic__insertion__4013,4013,insertion,confirmado,confirmado,valid,
semantic__insertion__4060,4060,insertion,confirmado,confirmado,valid,
semantic__insertion__4093,4093,insertion,confirmado,confirmado,valid,
semantic__insertion__4196,4196,insertion,confirmado,confirmado,valid,
semantic__insertion__4304,4304,insertion,confirmado,confirmado,valid,
semantic__insertion__4607,4607,insertion,confirmado,confirmado,valid,
semantic__insertion__4699,4699,insertion,confirmado,confirmado,valid,
semantic__insertion__4764,4764,insertion,confirmado,confirmado,valid,
semantic__insertion__4911,4911,insertion,confirmado,confirmado,valid,
semantic__insertion__4974,4974,insertion,confirmado,confirmado,valid,
semantic__insertion__5058,5058,insertion,confirmado,confirmado,valid,
semantic__insertion__5075,5075,insertion,confirmado,confirmado,valid,
semantic__insertion__5094,5094,insertion,confirmado,confirmado,valid,
semantic__insertion__5095,5095,insertion,confirmado,confirmado,valid,
semantic__insertion__5103,5103,insertion,confirmado,confirmado,valid,
semantic__insertion__5177,5177,insertion,confirmado,confirmado,valid,
semantic__insertion__5215,5215,insertion,confirmado,confirmado,valid,
semantic__insertion__5224,5224,insertion,confirmado,confirmado,valid,
semantic__insertion__5465,5465,insertion,confirmado,confirmado,valid,
semantic__insertion__5587,5587,insertion,confirmado,confirmado,valid,
semantic__insertion__5687,5687,insertion,confirmado,confirmado,valid,
semantic__insertion__5764,5764,insertion,confirmado,confirmado,valid,
semantic__insertion__5871,5871,insertion,confirmado,confirmado,valid,
semantic__insertion__5906,5906,insertion,confirmado,confirmado,valid,
semantic__insertion__6017,6017,insertion,confirmado,confirmado,valid,
semantic__insertion__6052,6052,insertion,confirmado,confirmado,valid,
semantic__insertion__6270,6270,insertion,confirmado,confirmado,valid,
semantic__insertion__6611,6611,insertion,confirmado,confirmado,valid,
semantic__insertion__6814,6814,insertion,confirmado,confirmado,valid,
semantic__insertion__6868,6868,insertion,confirmado,confirmado,valid,
semantic__insertion__7369,7369,insertion,confirmado,confirmado,valid,
semantic__insertion__7441,7441,insertion,confirmado,confirmado,valid,
semantic__insertion__7614,7614,insertion,confirmado,confirmado,valid,
semantic__insertion__7615,7615,insertion,confirmado,confirmado,valid,
semantic__insertion__7626,7626,insertion,confirmado,confirmado,valid,
semantic__insertion__7771,7771,insertion,confirmado,confirmado,valid,
semantic__insertion__7775,7775,insertion,confirmado,confirmado,valid,
semantic__insertion__7917,7917,insertion,confirmado,confirmado,valid,
semantic__insertion__8181,8181,insertion,confirmado,confirmado,valid,
semantic__insertion__8297,8297,insertion,confirmado,confirmado,valid,
semantic__insertion__8311,8311,insertion,confirmado,confirmado,valid,
semantic__insertion__8359,8359,insertion,confirmado,confirmado,valid,
semantic__insertion__8456,8456,insertion,confirmado,confirmado,valid,
semantic__insertion__8511,8511,insertion,confirmado,confirmado,valid,
semantic__insertion__8574,8574,insertion,confirmado,confirmado,valid,
