token_address,reference_block,symbol,name,decimals,metadata_status,provider_host
0x0c9c7712c83b3c70e7c5e11100d33d9401bdf9dd,23051200,WOMBAT,Wombat,18,complete,eth-mainnet.g.alchemy.com
0x0cec1a9154ff802e7934fc916ed7ca50bde6844e,23421700,POOL,PoolTogether,18,complete,eth-mainnet.g.alchemy.com
0x0d37af9d8ae74f35f3a38bd2a08fcb29890ca6d2,23589700,AIXBT,AIXBT,18,complete,eth-mainnet.g.alchemy.com
0x0ec78ed49c2d27b315d462d43b5bab94d2c79bf8,23286000,MEOW,MEOW,18,complete,eth-mainnet.g.alchemy.com
0x0f13fc8a93ab8edc9fde0a1e19aac693161599a5,23529700,SCAI,SecureChain AI,18,complete,eth-mainnet.g.alchemy.com
0x0f5d2fb29fb7d3cfee444a200298f468908cc942,23243000,MANA,Decentraland MANA,18,complete,eth-mainnet.g.alchemy.com
0x0f7dc5d02cc1e1f5ee47854d534d332a1081ccc8,22679800,ZEUS,Pepes Dog,9,complete,eth-mainnet.g.alchemy.com
0x0f81001ef0a83ecce5ccebf63eb302c70a39a654,23034600,DOLO,Dolomite,18,complete,eth-mainnet.g.alchemy.com
0x1000003ef093f9974a3a5f03c34bd738f54be760,23035500,UP,OnlyUp,4,complete,eth-mainnet.g.alchemy.com
0x111111111117dc0aa78b770fa6a738034120c302,23662000,1INCH,1INCH Token,18,complete,eth-mainnet.g.alchemy.com
0x112241d341a69f11fbb3d627406ef4fe02e19646,23267900,NIKO,Niko,9,complete,eth-mainnet.g.alchemy.com
0x1151cb3d861920e07a38e03eead12c32178567f6,23124500,Bonk,Bonk,5,complete,eth-mainnet.g.alchemy.com
0x1202f5c7b4b9e47a1a484e8b270be34dbbc75055,23808900,wstUSR,Wrapped stUSR,18,complete,eth-mainnet.g.alchemy.com
0x12d0545f7f74a17c84432e9552d8e4eb62b59dcd,23549500,REILLY,ReillyCoin,18,complete,eth-mainnet.g.alchemy.com
0x1495bc9e44af1f8bcb62278d2bec4540cf0c05ea,23560200,DEAI,Zero1 Token,18,complete,eth-mainnet.g.alchemy.com
0x14cf922aa1512adfc34409b63e18d391e4a86a2f,23025500,STRAT,ETH Strategy,18,complete,eth-mainnet.g.alchemy.com
0x14fee680690900ba0cccfc76ad70fd1b95d10e16,23009600,$PAAL,PAAL AI,9,complete,eth-mainnet.g.alchemy.com
0x1525fd4b1aa86f08dbc1428c4dd247734bd03d5a,22732400,MARI,The Legend Of Mari,9,complete,eth-mainnet.g.alchemy.com
0x15700b564ca08d9439c58ca5053166e8317aa138,23725500,deUSD,deUSD,18,complete,eth-mainnet.g.alchemy.com
0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,22936200,GALA,Gala,8,complete,eth-mainnet.g.alchemy.com
0x163c754ef4d9c03fc7fa9cf6dd43bfc760e6ce89,22700300,MAGGOT,MaggotToken,18,complete,eth-mainnet.g.alchemy.com
0x168e209d7b2f58f1f24b8ae7b7d35e662bbf11cc,22879500,LAI,LayerAI Token,18,complete,eth-mainnet.g.alchemy.com
0x1692111df125ba1543f82e77757253234594ea30,23102700,PURPE,Purple Pepe,9,complete,eth-mainnet.g.alchemy.com
0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,23897400,NMR,Numeraire,18,complete,eth-mainnet.g.alchemy.com
0x1789e0043623282d5dcc7f213d703c6d8bafbb04,23408600,LINEA,Linea,18,complete,eth-mainnet.g.alchemy.com
0x17b9ead941d8dad4cadd7fb9ccf76f8ec5a70cf4,23002700,JET2,Jet2holidays,9,complete,eth-mainnet.g.alchemy.com
0x186ef81fd8e77eec8bffc3039e7ec41d5fc0b457,23496700,INSP,Inspect,18,complete,eth-mainnet.g.alchemy.com
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,23814800,BZZ,BZZ,16,complete,eth-mainnet.g.alchemy.com
0x1963a95cfc30e49cc75f7f2de6027289971cac79,22814800,WLFI,Wen Lambo Financial,18,complete,eth-mainnet.g.alchemy.com
0x198647e7957096877e5c7e4fd875291524f85bea,23186900,YZY,YZY,9,complete,eth-mainnet.g.alchemy.com
0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,23472500,EURA,EURA (previously agEUR),18,complete,eth-mainnet.g.alchemy.com
0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,23573700,EURC,Euro Coin,6,complete,eth-mainnet.g.alchemy.com
0x1b379a79c91a540b2bcd612b4d713f31de1b80cc,23333300,NAORIS,Naoris Protocol,18,complete,eth-mainnet.g.alchemy.com
0x1c9922314ed1415c95b9fd453c3818fd41867d0b,23048900,TOWER,TOWER,18,complete,eth-mainnet.g.alchemy.com
