split,configuration,method,model,top_fraction,top_n,positives_in_top,precision_at_top,recall_at_top,lift_at_top
treino_2024_pos_dencun,c_completa,IF,IF:c_completa,0.001,3211,2,0.0006228589224540642,9.007791739854974e-05,0.09007707581103123
treino_2024_pos_dencun,c_completa,IF,IF:c_completa,0.005,16055,81,0.005045157271877919,0.0036481556546412645,0.7296243140693529
treino_2024_pos_dencun,c_completa,IF,IF:c_completa,0.01,32110,251,0.007816879476798506,0.011304778633517993,1.130467301428442
treino_2024_pos_dencun,c_completa,IF,IF:c_completa,0.05,160549,3176,0.01978212259185669,0.14304373282889699,2.8608657469159158
treino_2024_pos_dencun,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.001,3211,1,0.0003114294612270321,4.503895869927487e-05,0.04503853790551562
treino_2024_pos_dencun,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.005,16055,28,0.0017440049828713797,0.0012610908435796964,0.25221581227088746
treino_2024_pos_dencun,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.01,32110,85,0.0026471504204297726,0.003828311489438364,0.38282757219688274
treino_2024_pos_dencun,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.05,160549,1272,0.007922814841574847,0.05728955546547764,1.1457875409562486
treino_2024_pos_dencun,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.001,3211,0,0.0,0.0,0.0
treino_2024_pos_dencun,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.005,16055,0,0.0,0.0,0.0
treino_2024_pos_dencun,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.01,32110,0,0.0,0.0,0.0
treino_2024_pos_dencun,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.05,160549,57,0.00035503179714604265,0.0025672206458586676,0.05134425301454887
treino_2024_pos_dencun,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.001,3211,47,0.014637184677670508,0.002116831058865919,2.116811281559234
treino_2024_pos_dencun,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.005,16055,144,0.008969168483338523,0.0064856100526955816,1.2971098916788497
treino_2024_pos_dencun,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.01,32110,268,0.00834630956088446,0.012070440931405666,1.2070328158678185
treino_2024_pos_dencun,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.05,160549,1656,0.010314608001295555,0.07458451560599919,1.491685666527946
treino_2024_pos_dencun,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.001,3211,0,0.0,0.0,0.0
treino_2024_pos_dencun,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.005,16055,0,0.0,0.0,0.0
treino_2024_pos_dencun,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.01,32110,0,0.0,0.0,0.0
treino_2024_pos_dencun,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.05,160549,71,0.0004422325894275268,0.003197766067648516,0.06395512217601701
validacao_2025_pre_pectra,a_completa,AE,AE:a_completa,0.001,1443,0,0.0,0.0,0.0
