split,configuration,method,model,threshold,tn,fp,fn,tp,precision,recall_sensitivity,specificity,npv,f1,balanced_accuracy,mcc,false_positive_rate,predicted_positive_rate
validacao_2025_pre_pectra,b_completa,AE,AE:b_completa,q999,1428437,1436,12675,7,0.004851004851004851,0.0005519634127109288,0.9989957150040598,0.9912047085861474,0.000991150442477876,0.49977383920838536,-0.0013356968004817732,0.0010042849959401856,0.0010003084804392206
validacao_2025_pre_pectra,b_completa,IF,IF:b_completa,q990,1415761,14112,12367,315,0.021834061135371178,0.024838353571991798,0.9901305920176128,0.9913404120639047,0.023239514552362686,0.5074844727948022,0.014043075606563652,0.009869407982387224,0.01000100516098173
validacao_2025_pre_pectra,b_completa,IF,IF:b_completa,q995,1422824,7049,12517,165,0.022872192958136955,0.01301056615675761,0.9950701915484802,0.9912794241925786,0.016586248492159228,0.5040403788526189,0.010693726634444149,0.0049298084515198015,0.005000849187725945
validacao_2025_pre_pectra,b_completa,IF,IF:b_completa,q999,1428472,1401,12639,43,0.029778393351800554,0.0033906323923671346,0.9990201927024288,0.9912296832096903,0.006088064561800935,0.5012054125473979,0.007116656389614212,0.0009798072975711891,0.0010010016949093794
validacao_2025_pre_pectra,c_completa,AE,AE:c_completa,q990,1415552,14321,12577,105,0.0072785248856231805,0.008279451190663933,0.9899844251902092,0.9911933725874903,0.007746790615316511,0.4991319381904366,-0.0016287955333236443,0.010015574809790762,0.010000311946511572
validacao_2025_pre_pectra,c_completa,AE,AE:c_completa,q995,1422718,7155,12624,58,0.00804103701649799,0.0045734111338905535,0.9949960590905625,0.9912048835747856,0.00583061070620759,0.49978473511222654,-0.0005697838525082624,0.005003940909437454,0.005000155973255786
validacao_2025_pre_pectra,c_completa,AE,AE:c_completa,q999,1428430,1443,12682,0,0.0,0.0,0.998990819464386,0.9911998512259977,0.0,0.499495409732193,-0.0029800904102443844,0.0010091805356140515,0.0010003084804392206
validacao_2025_pre_pectra,c_completa,IF,IF:c_completa,q990,1416122,13751,12007,675,0.0467905171218633,0.053225043368553854,0.9903830619922189,0.9915924961960719,0.049800796812749,0.5218040526803864,0.040912229086575845,0.009616938007781073,0.010000311946511572
validacao_2025_pre_pectra,c_completa,IF,IF:c_completa,q995,1422936,6937,12406,276,0.03826424511299043,0.02176312884403091,0.995148520183261,0.991356763753865,0.02774566473988439,0.508455824513646,0.022381691307641623,0.004851479816738946,0.005000155973255786
validacao_2025_pre_pectra,c_completa,IF,IF:c_completa,q999,1428556,1317,12556,126,0.08731808731808732,0.009935341428796719,0.9990789391785144,0.9912872837086916,0.017840707964601767,0.5045071403036556,0.02661899456548262,0.0009210608214855753,0.0010003084804392206
validacao_2025_pre_pectra,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,q990,1415625,14248,12504,178,0.012338832663246915,0.014035641066077905,0.9900354786753789,0.9912444884180631,0.013132654566917517,0.5020355598707283,0.003819440953084536,0.009964521324621112,0.010000311946511572
validacao_2025_pre_pectra,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,q995,1422698,7175,12644,38,0.005268265631498683,0.002996372811859328,0.9949820718343517,0.9911909496134023,0.0038200552902739383,0.49898922232310555,-0.002675423775457793,0.005017928165648278,0.005000155973255786
validacao_2025_pre_pectra,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,q999,1428430,1443,12682,0,0.0,0.0,0.998990819464386,0.9911998512259977,0.0,0.499495409732193,-0.0029800904102443844,0.0010091805356140515,0.0010003084804392206
validacao_2025_pre_pectra,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,q990,1415447,14426,12682,0,0.0,0.0,0.9899109920951021,0.9911198498174885,0.0,0.49495549604755107,-0.009465300068568288,0.010089007904897862,0.010000311946511572
validacao_2025_pre_pectra,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,q995,1422660,7213,12682,0,0.0,0.0,0.9949554960475511,0.9911644750867737,0.0,0.49747774802377553,-0.006676139629061901,0.005044503952448931,0.005000155973255786
validacao_2025_pre_pectra,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,q999,1428430,1443,12682,0,0.0,0.0,0.998990819464386,0.9911998512259977,0.0,0.499495409732193,-0.0029800904102443844,0.0010091805356140515,0.0010003084804392206
validacao_2025_pre_pectra,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,q990,1415758,14115,12371,311,0.02155829751836961,0.024522945907585553,0.9901284939291811,0.9913376172600654,0.022945256012985096,0.5073257199183834,0.013745680031061084,0.00987150607081888,0.010000311946511572
validacao_2025_pre_pectra,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,q995,1422765,7108,12577,105,0.014557049771246361,0.008279451190663933,0.9950289291426582,0.9912376283840367,0.01055541593365167,0.501654190166661,0.0043784699664231345,0.0049710708573418305,0.005000155973255786
validacao_2025_pre_pectra,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,q999,1428439,1434,12673,9,0.006237006237006237,0.0007096672449140514,0.9989971137296809,0.991206096403333,0.0012743362831858407,0.4998533904872975,-0.0008658700548353129,0.001002886270319081,0.0010003084804392206
validacao_2025_pre_pectra,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,q990,1415447,14426,12682,0,0.0,0.0,0.9899109920951021,0.9911198498174885,0.0,0.49495549604755107,-0.009465300068568288,0.010089007904897862,0.010000311946511572
validacao_2025_pre_pectra,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,q995,1422660,7213,12682,0,0.0,0.0,0.9949554960475511,0.9911644750867737,0.0,0.49747774802377553,-0.006676139629061901,0.005044503952448931,0.005000155973255786
validacao_2025_pre_pectra,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,q999,1428430,1443,12682,0,0.0,0.0,0.998990819464386,0.9911998512259977,0.0,0.499495409732193,-0.0029800904102443844,0.0010091805356140515,0.0010003084804392206
transicao_pectra_2025,a_completa,AE,AE:a_completa,q990,413492,5992,4275,0,0.0,0.0,0.9857157841538652,0.9897670232450145,0.0,0.4928578920769326,-0.01209008059181955,0.014284215846134818,0.014140112658374218
transicao_pectra_2025,a_completa,AE,AE:a_completa,q995,417032,2452,4275,0,0.0,0.0,0.9941547234221091,0.9898530050533222,0.0,0.49707736171105454,-0.007701427912912879,0.005845276577890912,0.005786307783433508
transicao_pectra_2025,a_completa,AE,AE:a_completa,q999,418895,589,4275,0,0.0,0.0,0.9985958940031086,0.9898976770565021,0.0,0.4992979470015543,-0.0037662623683831628,0.001404105996891447,0.0013899409806045417
transicao_pectra_2025,a_completa,IF,IF:a_completa,q990,415390,4094,4003,272,0.062299587723316535,0.06362573099415204,0.9902403905750875,0.9904552531873446,0.06295567642633954,0.5269330607846198,0.05330758551894432,0.009759609424912497,0.010303026012426875
transicao_pectra_2025,a_completa,IF,IF:a_completa,q995,417456,2028,4262,13,0.006369426751592357,0.0030409356725146198,0.995165489029379,0.9898937204482616,0.004116529449018366,0.4991032123509468,-0.00258888525721047,0.004834510970621042,0.004816416878461578
transicao_pectra_2025,a_completa,IF,IF:a_completa,q999,419047,437,4274,1,0.00228310502283105,0.00023391812865497077,0.9989582439377902,0.9899036428620361,0.000424358158285593,0.49959608103322256,-0.00251233784412676,0.0010417560622097977,0.0010336063658824945
transicao_pectra_2025,b_completa,AE,AE:b_completa,q990,415427,4057,4269,6,0.0014767413241447206,0.0014035087719298245,0.9903285941776087,0.9898283519499829,0.0014391940513312543,0.49586605147476925,-0.008478714152091607,0.009671405822391343,0.009587996951097204
transicao_pectra_2025,b_completa,AE,AE:b_completa,q995,417529,1955,4272,3,0.0015321756894790602,0.0007017543859649122,0.9953395123532721,0.9898720012517751,0.0009626183218353923,0.4980206333696185,-0.005833401293095681,0.004660487646727884,0.004620550831958731
